attacker_type,defender_type,multiplier,thematic_rationale,gen1_equivalent
Chill,Vibe,0.5,Calm doesn't disrupt aesthetics,Water→Grass
Chill,Elite,0.5,Chill resisted by elite,Water→Dragon
Vibe,Hype,0.5,Aesthetics partly resist energy,Grass→Fire
Vibe,Troll,0.5,Positivity resists trolling,Grass→Poison
Vibe,Reach,0.5,Vibe absorbed by broadcast,Grass→Flying
Vibe,Glitch,0.5,Aesthetics partially resist anomalies,Grass→Bug
Vibe,Vibe,0.5,Aesthetic resists aesthetic,Grass→Grass
Tech,Tech,0.5,Signal dampens signal,Electric→Electric
Tech,Elite,0.5,Tech resisted by prestige,Electric→Dragon
Tech,Vibe,0.5,Technology partially resisted by vibes,Electric→Grass
Tech,Hype,0.5,Algorithm slightly resisted by energy,Electric→Fire (thematic)
Deep,Chat,0.5,Philosophy overcomplicates small talk,Psychic→Normal (thematic)
Deep,Deep,0.5,Minds resist each other,Psychic→Psychic
Deep,Elite,0.5,Intelligence resisted by sheer prestige,Psychic→Dragon (thematic)
Deep,Glitch,0.5,Thought partially resisted by anomaly,Psychic→Bug
Cold,Cold,0.5,Dry wit deflects dry wit,Ice→Ice
Cold,Chill,0.5,Coldness absorbed by calm,Ice→Water
Cold,Glitch,0.5,Freezing resisted by unstable systems,Ice→Fire (thematic)
Cold,Dark,0.5,Cold partially resisted by darkness,Ice→Ghost (thematic)
Elite,Hype,0.5,Elite resists fire/energy,Dragon→Fire
Elite,Chill,0.5,Elite resists water/calm,Dragon→Water
Elite,Tech,0.5,Elite resists signal,Dragon→Electric
Elite,Vibe,0.5,Elite resists aesthetic,Dragon→Grass
Dark,Grind,0.5,Shadow resists hustle,Ghost→Fighting
Dark,Troll,0.5,Shadow resists chaos,Ghost→Poison
Dark,Roots,0.5,Shadow resists culture,Ghost→Ground (thematic)
Dark,Hype,0.5,Shadow resists fire,Ghost→Fire (thematic)
Dark,Chill,0.5,Shadow resists calm,Ghost→Water (thematic)
Solid,Grind,0.5,Stubbornness resists hustle,Rock→Fighting
Solid,Deep,0.5,Cold data doesn't penetrate philosophy,Rock→Psychic (thematic)
Solid,Dark,0.5,Solid resists shadow,Rock→Ghost (thematic)
Glitch,Hype,0.5,Anomaly can't disrupt raw energy,Bug→Fire
Glitch,Reach,0.5,Signal dampened by broadcast range,Bug→Flying
