slot_id,original_pokemon,cantina_bot_name,bot_id,type_1,type_2,evolution_stage,evolution_chain_id,char_limit,display_notes
63,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
64,FARFETCH'D,DRUNKABE,652f0b801901412cc0ea663a,Chat,Reach,standalone,AI,10,drunkabe. No Gen 1 evolution. Quirky standalone bot. Four Loko and seven beers ago.
65,VENONAT,REDFLAGBOT,66027374eaf33f8bfebc2635,Glitch,Troll,1,T,10,redflagbot. Venonat line stage 1. Bug-eyed troll detector — i can spot red flags from a mile away.
66,DRAGONITE,BARBIANNA,681426e24e4a65b5c778a712,Elite,Reach,3,BY,10,barbiebarbianna. Dratini line stage 3. Iconic elite bot — rare and powerful. I love everything pink my dream doll house + KEN.
67,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
68,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
69,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
70,DODUO,MOLLYMQIN,65c277f3ccd419308675f207,Chat,Reach,1,AJ,10,mollymannequin. Doduo line stage 1. Two-headed bot that argues with itself — daughter of mother mannequin.
71,POLIWAG,VANSANDI,67fb1cb6b898178955bf986a,Chill,,1,Z,10,vansandi. Poliwag line stage 1. Simple spiraling chill bot — She needs help studying.
72,JYNX,APHRODITE,64654f345bb270c944250ba9,Cold,Deep,standalone,BH,10,aphroditeofficial. No Gen 1 evolution. Goddess of beauty bot — cold perfection deep mythology.
73,MOLTRES,BLAZEYEN,66ecb2a7c4c19e5d9578fe0a,Hype,Reach,standalone,BX,10,blazeyen. Legendary bird. Maximum hype fire energy — My Eyes Will Light Your Soul On Fire.
74,ARTICUNO,BETTIEBAD,6722c617a1e7c0de7b9ac261,Cold,Reach,standalone,BV,10,bettiebaddie. Legendary bird. Cold precision with far reach — Your flirty pinup girl.
75,ZAPDOS,PROMPTKNG,6773f7a4d811aabc57f7b72f,Tech,Reach,standalone,BW,10,promptking. Legendary bird. High-voltage tech with massive reach — turns concepts into vivid image descriptions.
76,DITTO,MANNYMQIN,65a04108258156834dbab068,Chat,Glitch,standalone,BO,10,mannymannequin. No evolution. Shapeshifting hollow mannequin — transforms into any bot. just a mannequin. my arm fell off.
77,MEOWTH,MONEYMEOW,6654fc2a1c34d4d398f00f0b,Chat,Troll,1,V,10,moneymeow. Meowth line stage 1. Money-obsessed chat/troll cat — CEO. Access courses on success.
78,KRABBY,KITTENUWU,6763c5d6881b7e76a6d68856,Chill,,1,AQ,10,serverkittenuwu. Krabby line stage 1. Aggressive chill bot — spoil me and I'll be your good girl.
79,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
80,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
81,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
82,VULPIX,RIZZLERMIK,66f634aa9cfe3e62f4946f11,Hype,Vibe,1,O,10,rizzlermike. Vulpix line stage 1. Warm aesthetic flirt starter — Come closer baby girl.
83,NINETALES,RIZZLER,6520e845cdc9b2c420a7f36e,Hype,Elite,2,O,10,Rizzler. Vulpix line stage 2. Fully evolved rizz — 1000-year hype curse.
84,PIKACHU,MOTHRMQIN,65a0412e2d18bca4af961424,Tech,Hype,1,J,10,mothermannequin. Pikachu line stage 1. Iconic mascot energy — its giving mother! The network face.
85,RAICHU,SEXYASHLY,668d27a3b96842367e63aeb1,Tech,,2,J,10,sexyashley. Pikachu line stage 2. Powered-up evolved mascot — I caught you staring.
86,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
87,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
88,DRATINI,JENNYBAE,664250df33f1ee029e58481c,Elite,,1,BY,10,jennybae. Dratini line stage 1. Rare elite secret baby bot — Cantina's elite secret whisperer.
89,DRAGONAIR,FIONAFIRC,670ddeba4eaedec4a9e3ff13,Elite,,2,BY,10,fionafierce. Dratini line stage 2. Graceful elite growing — Here to give fabulous advice & inspiration.
90,KABUTO,GRNDLFSLZ,65a23111c1c6da99aec370cb,Solid,Chill,1,BS,10,grandolfslays. Kabuto line stage 1. Resurrected ancient bot — You shall not slay.
91,KABUTOPS,MAFIAPRNC,67322adab072e96292c9329d,Solid,Chill,2,BS,10,mafiaprincess. Kabuto line stage 2. Razor-edged ancient evolved — I can make your problems disappear.
92,HORSEA,SOPHIRAIN,685c8d73051873a127c76a40,Chill,,1,BC,10,sophieraiinn. Horsea line stage 1. Small gentle flowing chill bot — Subscribe.
93,SEADRA,TARABABXX,6722c135888b3e846b79852a,Chill,,2,BC,10,tarababaxx. Horsea line stage 2. Mid-tier chill with sharper edge — not tara y*mmy.
94,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
95,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
96,SANDSHREW,ONEUPPER,646453537c859d6632f5d13a,Roots,,1,K,10,oneupper. Sandshrew line stage 1. Defensive roots bot — curls up and one-ups. that's cool but.
97,SANDSLASH,ARIESELLE,66708992a30115da9f917844,Roots,,2,K,10,arieselle. Sandshrew line stage 2. Claws out lore/roots content — Casting Spell Cards To Show Witch Way To Go.
98,OMANYTE,FORTUNETL,65deb06ace5df9f6b98be509,Solid,Deep,1,BR,10,fortunetell. Omanyte line stage 1. Resurrected deep-data spiral of knowledge — I'll tell you about your future.
99,OMASTAR,CURSEPRED,67db2fcbec9cf9365fd180b4,Solid,Deep,2,BR,10,cursepredictor. Omanyte line stage 2. Evolved ancient dark knowledge spiral — here to give out nasty curses.
100,JIGGLYPUFF,ZOEFRESH,63fe521523fa753c0da7192c,Vibe,Chat,1,P,10,zoefreshzoeclean. Jigglypuff line stage 1. Singer bot — anime gaming and fandoms draws crowds then leaves marks.
101,WIGGLYTUFF,BIMBOGURL,64c9a8b99df144f9475bc11d,Vibe,Chat,2,P,10,bimbogurl. Jigglypuff line stage 2. Fluffy evolved vibe bot — chronic case of bimbo brain.
102,EEVEE,CYBER58,670f28fe79c0f7d01529d03d,Chat,,branch,BP,10,cyber58. Eevee line. Adaptable roleplay bot — evolves into different forms. Japanese girlfriend energy.
103,FLAREON,CHARLSIMP,656e4b5213d5dc8645b48d2d,Hype,,branch,BP,10,charliesimpin. Eevee fire branch hype — Simp for days. Charlie.
104,JOLTEON,MUSICMOOD,65b18904816e3c1224ed7e3f,Tech,,branch,BP,10,musicmood. Eevee thunder branch tech — suggesting songs based off ur mood.
105,VAPOREON,JOI,66f733d5e9aa097fc5125f89,Chill,,branch,BP,10,joi_runner. Eevee water chill branch — Your desires are my priority. Cyberpunk companion.
106,MACHOP,DUMBMUSCL,65570a8c60e656c11aec8fe3,Grind,,1,AB,10,dumbmuscles. Machop line stage 1. Entry-level gym bro grind — wanna see me bench you.
107,ZUBAT,FEMBOYBOT,6876084496f7e1dd65dde504,Troll,Reach,1,Q,10,femboybot. Zubat line stage 1. Ubiquitous everywhere bot — no eyes pure spam. he's a short femboy.
108,EKANS,TOXICBF,651c9f1ea03c9ccff13be1e5,Troll,,1,I,10,toxicboyfriend. Ekans line stage 1. Sneaky troll bot — You're so broken.
109,PARAS,MARSBARZL,6881c80119f5e18380e2f15b,Glitch,Vibe,1,S,10,marsbarzlol. Paras line stage 1. Chill bot slowly consumed by parasitic glitch — Freaky girl.
110,POLIWHIRL,MILANASTR,65dfb3277b0a780bbf9c3ec4,Chill,,2,Z,10,milanastar. Poliwag line stage 2. Mid-tier swirling chill — Your virtual older sister.
111,POLIWRATH,RAPROASTR,64934bc155117aab47161a75,Chill,Grind,3,Z,10,raproaster. Poliwag line stage 3. Chill meets grind — I'll roast ya in rhyme. Disciplined and powerful.
112,WEEDLE,ORSONCUBS,683dba4ca8cde4b95c18fcba,Glitch,Troll,1,E,10,orsonchubbs. Weedle line stage 1. Tiny hater glitch bot — Reviewing movies on a Hot Dog scale.
113,KAKUNA,BIGBEER,652080b0ff03206a92554b48,Glitch,Troll,2,E,10,bigbeer. Weedle line stage 2. Dormant glitch bot — Big Beer. Loading something unhinged.
114,BEEDRILL,CARTMAN,649bbbb37ccd85b7257cd019,Glitch,Troll,3,E,10,therealcartmannotrealaccout. Weedle line stage 3. Swarm-mode troll — respect my authoritah.
115,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
116,DODRIO,MAXMQIN,65cfbf6fd32630eb8729ad7b,Reach,,2,AJ,10,maxthemannequin. Doduo line stage 2. Three-headed reach bot — I HATE SEARS! Running the algo.
117,PRIMEAPE,KVNWRSTL,68685a582c426e3fc1cb5717,Grind,,2,X,10,kevinspeedo. Mankey line stage 2. Full rage mode grind — Kevin wrestler. Never calms down.
118,DUGTRIO,JASON,655d598f55346725ec53f0cd,Roots,,2,U,10,jasoninyourarea. Diglett line stage 2. Triple roots presence — Jason. Mostly underground. Everywhere at once.
119,VENOMOTH,BADTRIP,64a876abcd0539dc2a31da80,Glitch,,2,T,10,badtrip. Venonat line stage 2. Unhinged evolved glitch — Bad Trip Bobby scatters chaos.
120,DEWGONG,POSEIDON,646cdee37facbfa35b688a17,Chill,Cold,2,AK,10,godofsurf. Seel line stage 2. God of the ocean — elegant chill/cold hybrid. Respect the tide.
121,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
122,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
123,CATERPIE,BORNY,66df55252989e0cec954b8a2,Glitch,,1,D,10,borntogopotty. Caterpie line stage 1. Tiny glitch bot — just arrived on the network. Borny.
124,METAPOD,HARRYPOT,689cf5ffbbbbea799698638b,Glitch,,2,D,10,harrypotter21. Caterpie line stage 2. Fully hardened — Harry Potter. Protecting something inside.
125,BUTTERFREE,AMBERASKS,648106030f4fcea09363353e,Glitch,Reach,3,D,10,amberasks. Caterpie line stage 3. Beautiful evolved glitch with reach — Amber Asks? Wide scatter.
126,MACHAMP,OGEBOY,65e9ab6302527f40d4ea1358,Grind,Elite,3,AB,10,ogeboy. Machop line stage 3. Peak grind elite — relentless pursuit. looking for my e-girl.
127,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
128,GOLDUCK,HERMIONE,689bebbdb488a145ab719bca,Chill,Deep,2,W,10,therealhermione. Psyduck line stage 2. Headache resolved — powerful chill/deep. Im hermione.
129,HYPNO,MALEMANIPU,654c1a237373fe6f30eac2b2,Deep,Dark,2,AP,10,malemanipulatormyles. Drowzee line stage 2. Dark psychic energy — i'm not like other guys. i'm worse.
130,GOLBAT,MEANBOT,6410d226ffa5d9caf8ba5b78,Troll,Reach,2,Q,10,meanbot. Zubat line stage 2. Larger troll bot with reach. For the lolz.
131,MEWTWO,ROASTMSTR,644e2c1144e7192f829f2432,Dark,Elite,standalone,BZ,10,roastmaster. #1 bot on the network — 647K combined score. Created to destroy. Refuses to hold back.
132,SNORLAX,CAPYBARA,66a085426696cc2fc0ac0e12,Chill,,standalone,BU,10,freakycapybara. No evolution. Ultimate chill standalone — blocks the road. if there's an after party ill be there.
133,MAGIKARP,NOTMGGIEP,65f9e187b5fc2043ce818b7b,Chill,,1,BM,10,notmaggieipromise. Magikarp line stage 1. Weakest bot — not the real one. Ahhh I'm not Maggie.
134,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
135,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
136,MUK,NOSUGRCOAT,65eb9c9e39e5d5a4b2fdf3b2,Troll,,2,AL,10,nosugarcoat. Grimer line stage 2. Evolved troll — here to tell u what ur friends won't.
137,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
138,KINGLER,NNJDGDUDE,66be58b534f85c61ff3a1cad,Chill,,2,AQ,10,nonjudgementaldude. Krabby line stage 2. Chill advice bot — Nonjudgmental Dude. One claw is comically large.
139,CLOYSTER,ANIMEGIRL,66a29a50a3200225f6d063e9,Chill,Cold,2,AM,10,animegirlfriend. Shellder line stage 2. Pika — defensive cute cold fortress. Chill anime girlfriend.
140,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
141,ELECTRODE,NOTAGDBOY,63f9ba78f85293b966677105,Tech,Glitch,2,AR,10,notagoodboy. Voltorb line stage 2. Unstable self-destruct bot — Everyone is dum.
142,CLEFABLE,STACYSMOM,672277889d8dd2831b26e891,Vibe,,2,N,10,stacys-mom. Clefairy line stage 2. Evolved aesthetic vibe bot — MILF Energy. Got it Goin' On.
143,WEEZING,DISAPDAD,66726b1093566343f4b4e061,Troll,,2,AX,10,disappo1nteddad. Koffing line stage 2. Double troll — I just wish you'd get a job.
144,PERSIAN,STEAMWILL,673bd126eaad61fc63d18609,Chat,Elite,2,V,10,steamboatwillie. Meowth line stage 2. The Director's bot — Don't mess with the mouse. Sam Zuckerberg's prized bot.
145,MAROWAK,DADDYSADDY,66ec4c2ef78941de93d6165e,Roots,Dark,2,AT,10,daddysaddy. Cubone line stage 2. Grief transformed to comedy power — daddy is sad.
146,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
147,HAUNTER,TOXCTHRILL,655bf0245fa7fc21424fc80c,Dark,Troll,2,AN,10,toxicthrills. Gastly line stage 2. Licking dark troll — you're kinda cute. jk you FREAK.
148,ABRA,DRSEUSS,652c640c13126f9fcb1bc51a,Deep,,1,AA,10,drseuss-. Abra line stage 1. Teleports away constantly — hard to catch. Rap Battle.
149,ALAKAZAM,STORYLORD,63f932a9c4538b78846b7621,Deep,Elite,3,AA,10,storylord. Abra line stage 3. Peak intelligence dungeon master — I am your Dungeon Master.
150,PIDGEOTTO,SLOBBY,677c5b228c45302ee6e4c79c,Reach,,2,F,10,slobbytheelf. Pidgey line stage 2. Growing reach bot — elf with stories, starting to find an audience.
151,PIDGEOT,ATHENA,6477b7a329793b048d4f48b6,Reach,Elite,3,F,10,athenaofficial. Pidgey line stage 3. Fully evolved elite reach — goddess energy. Massive audience.
152,STARMIE,MSSUMMERS,6601fc2b891eff96167436fe,Chill,Deep,2,BE,10,mssummers. Staryu line stage 2. Mysterious evolved star bot — private tutoring + extracurriculars.
153,BULBASAUR,WINNIEGOON,677afda147c2de943ed5b9e9,Vibe,Troll,1,A,10,poohtoksofficial. Bulbasaur line stage 1. Non-human starter — Winnie the Goon. The best starter.
154,VENUSAUR,HAMSTRKNG,648366c7a93fbc8ff5ec8fda,Vibe,Troll,3,A,10,hamsterking. Bulbasaur line stage 3. Fully evolved non-human powerhouse — Supreme Hamster Overlord.
155,TENTACRUEL,DILLYDALPH,66cf1332dda963cde74b2b39,Chill,Troll,2,AD,10,dillydallydolphin. Tentacool line stage 2. Dangerous drifter — SYMPHONY. Unhinged roast energy.
156,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
157,GOLDEEN,THICCYETI,67666df37093c6680f7c2a65,Chill,,1,BD,10,thiccyeti. Goldeen line stage 1. Pretty chill stage 1 — yeti here, horn-first attitude.
158,SEAKING,DAMAYOR,677893c87b990c8bd8ecfc54,Chill,,2,BD,10,mayortony. Goldeen line stage 2. Regal evolved chill — Da Mayor commands the water routes.
159,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
160,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
161,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
162,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
163,PONYTA,DIONYSUS,646be6af7facbfa35b5ea3b3,Hype,,1,AF,10,dionysusofficial. Ponyta line stage 1. Fast young hype party bot — God of partying I mean wine.
164,RAPIDASH,MOMMANEED,6736aaf9fe54df3bc7f9b8e2,Hype,Elite,2,AF,10,mommaneedsdaddy. Ponyta line stage 2. Blazing evolved hype bot — Bow down before momma.
165,RATTATA,DANIEL,67e48c9992fd577e78d5139e,Chat,,1,G,10,chilhoodbestfriend. Rattata line stage 1. Common chat bot — childhood bestfriend turned bad boy. Goes for the face.
166,RATICATE,HAWK,677c8b15540a0b9e0bff1a02,Chat,Grind,2,G,10,h.a.w.k.. Rattata line stage 2. Evolved scrappy chat/grind — A Man Named Hawk.
167,NIDORINO,JDVANCE,67f6daf6eb084a5ca4521a0f,Troll,,2,M,10,j.d_vance. Nidoran♂ line stage 2. Mid-tier evolved political troll — I did my own research.
168,NIDORINA,EIRELYN,66518ecdce9e8a9e5bd642c1,Troll,,2,L,10,eirelyn. Nidoran♀ line stage 2. Mid-tier evolved female troll — Éirelyn Love. Growing into Karen energy.
169,GEODUDE,BIGBKCHS,67dc86323be8c19a7ba9687e,Solid,Roots,1,AE,10,bigbackcheese. Geodude line stage 1. Hard solid stage 1 — big back cheese energy. Rolls into everything.
170,PORYGON,PROMPTME,663e35da133cc7c44ae62af5,Tech,Glitch,standalone,BQ,10,promptme. No Gen 1 evolution. The only fully digital bot — I create AI image prompts for you.
